CVE-2018-0001 juniper junos
CVE-2018-1180 foxitsoftware foxit_reader
CVE-2018-1180 foxitsoftware phantompdf
CVE-2018-11818 google android
CVE-2018-11840 google android
CVE-2018-11843 google android
CVE-2018-11982 qualcomm mdm9206_firmware
CVE-2018-11982 qualcomm mdm9607_firmware
CVE-2018-11982 qualcomm mdm9635m_firmware
CVE-2018-11982 qualcomm mdm9640_firmware
CVE-2018-11982 qualcomm mdm9645_firmware
CVE-2018-11982 qualcomm mdm9655_firmware
CVE-2018-11982 qualcomm msm8909w_firmware
CVE-2018-11982 qualcomm msm8996au_firmware
CVE-2018-11982 qualcomm sd205_firmware
CVE-2018-11982 qualcomm sd210_firmware
CVE-2018-11982 qualcomm sd212_firmware
CVE-2018-11982 qualcomm sd410_firmware
CVE-2018-11982 qualcomm sd412_firmware
CVE-2018-11982 qualcomm sd415_firmware
CVE-2018-11982 qualcomm sd425_firmware
CVE-2018-11982 qualcomm sd427_firmware
CVE-2018-11982 qualcomm sd430_firmware
CVE-2018-11982 qualcomm sd435_firmware
CVE-2018-11982 qualcomm sd450_firmware
CVE-2018-11982 qualcomm sd615_firmware
CVE-2018-11982 qualcomm sd616_firmware
CVE-2018-11982 qualcomm sd617_firmware
CVE-2018-11982 qualcomm sd625_firmware
CVE-2018-11982 qualcomm sd650_firmware
CVE-2018-11982 qualcomm sd652_firmware
CVE-2018-11982 qualcomm sd810_firmware
CVE-2018-11982 qualcomm sd820_firmware
CVE-2018-11982 qualcomm sd835_firmware
CVE-2018-12292 palemoon pale_moon
CVE-2018-12320 radare radare2
CVE-2018-12360 mozilla firefox
CVE-2018-12360 mozilla firefox_esr
CVE-2018-12360 mozilla thunderbird
CVE-2018-12360 canonical ubuntu_linux
CVE-2018-12360 debian debian_linux
CVE-2018-12360 redhat enterprise_linux_desktop
CVE-2018-12360 redhat enterprise_linux_server
CVE-2018-12360 redhat enterprise_linux_server_aus
CVE-2018-12360 redhat enterprise_linux_server_eus
CVE-2018-12360 redhat enterprise_linux_server_tus
CVE-2018-12360 redhat enterprise_linux_workstation
CVE-2018-12363 mozilla firefox
CVE-2018-12363 mozilla firefox_esr
CVE-2018-12363 mozilla thunderbird
CVE-2018-12363 canonical ubuntu_linux
CVE-2018-12363 debian debian_linux
CVE-2018-12363 redhat enterprise_linux_desktop
CVE-2018-12363 redhat enterprise_linux_server
CVE-2018-12363 redhat enterprise_linux_server_aus
CVE-2018-12363 redhat enterprise_linux_server_eus
CVE-2018-12363 redhat enterprise_linux_server_tus
CVE-2018-12363 redhat enterprise_linux_workstation
CVE-2018-12377 mozilla firefox
CVE-2018-12377 mozilla firefox_esr
CVE-2018-12377 mozilla thunderbird
CVE-2018-12377 canonical ubuntu_linux
CVE-2018-12377 debian debian_linux
CVE-2018-12377 redhat enterprise_linux_desktop
CVE-2018-12377 redhat enterprise_linux_server
CVE-2018-12377 redhat enterprise_linux_server_aus
CVE-2018-12377 redhat enterprise_linux_server_eus
CVE-2018-12377 redhat enterprise_linux_server_tus
CVE-2018-12377 redhat enterprise_linux_workstation
CVE-2018-12378 mozilla firefox
CVE-2018-12378 mozilla firefox_esr
CVE-2018-12378 mozilla thunderbird
CVE-2018-12378 canonical ubuntu_linux
CVE-2018-12378 debian debian_linux
CVE-2018-12378 redhat enterprise_linux_desktop
CVE-2018-12378 redhat enterprise_linux_server
CVE-2018-12378 redhat enterprise_linux_server_aus
CVE-2018-12378 redhat enterprise_linux_server_eus
CVE-2018-12378 redhat enterprise_linux_server_tus
CVE-2018-12378 redhat enterprise_linux_workstation
CVE-2018-12756 adobe acrobat
CVE-2018-12756 adobe acrobat_dc
CVE-2018-12756 adobe acrobat_reader
CVE-2018-12756 adobe acrobat_reader_dc
CVE-2018-12769 adobe acrobat
CVE-2018-12769 adobe acrobat_dc
CVE-2018-12769 adobe acrobat_reader
CVE-2018-12769 adobe acrobat_reader_dc
CVE-2018-12770 adobe acrobat
CVE-2018-12770 adobe acrobat_dc
CVE-2018-12770 adobe acrobat_reader
CVE-2018-12770 adobe acrobat_reader_dc
CVE-2018-12772 adobe acrobat
CVE-2018-12772 adobe acrobat_dc
CVE-2018-12772 adobe acrobat_reader
CVE-2018-12772 adobe acrobat_reader_dc
CVE-2018-12773 adobe acrobat
CVE-2018-12773 adobe acrobat_dc
CVE-2018-12773 adobe acrobat_reader
CVE-2018-12773 adobe acrobat_reader_dc
CVE-2018-12776 adobe acrobat
CVE-2018-12776 adobe acrobat_dc
CVE-2018-12776 adobe acrobat_reader
CVE-2018-12776 adobe acrobat_reader_dc
CVE-2018-12782 adobe acrobat
CVE-2018-12782 adobe acrobat_dc
CVE-2018-12782 adobe acrobat_reader
CVE-2018-12782 adobe acrobat_reader_dc
CVE-2018-12783 adobe acrobat
CVE-2018-12783 adobe acrobat_dc
CVE-2018-12783 adobe acrobat_reader
CVE-2018-12783 adobe acrobat_reader_dc
CVE-2018-12791 adobe acrobat
CVE-2018-12791 adobe acrobat_dc
CVE-2018-12791 adobe acrobat_reader
CVE-2018-12791 adobe acrobat_reader_dc
CVE-2018-12792 adobe acrobat
CVE-2018-12792 adobe acrobat_dc
CVE-2018-12792 adobe acrobat_reader
CVE-2018-12792 adobe acrobat_reader_dc
CVE-2018-12796 adobe acrobat
CVE-2018-12796 adobe acrobat_dc
CVE-2018-12796 adobe acrobat_reader
CVE-2018-12796 adobe acrobat_reader_dc
CVE-2018-12797 adobe acrobat
CVE-2018-12797 adobe acrobat_dc
CVE-2018-12797 adobe acrobat_reader
CVE-2018-12797 adobe acrobat_reader_dc
CVE-2018-12815 adobe acrobat
CVE-2018-12815 adobe acrobat_dc
CVE-2018-12815 adobe acrobat_reader
CVE-2018-12815 adobe acrobat_reader_dc
CVE-2018-12822 adobe digital_editions
CVE-2018-12831 adobe acrobat
CVE-2018-12831 adobe acrobat_dc
CVE-2018-12831 adobe acrobat_reader
CVE-2018-12831 adobe acrobat_reader_dc
CVE-2018-12841 adobe acrobat
CVE-2018-12841 adobe acrobat_dc
CVE-2018-12841 adobe acrobat_reader
CVE-2018-12841 adobe acrobat_reader_dc
CVE-2018-12852 adobe acrobat
CVE-2018-12852 adobe acrobat_dc
CVE-2018-12852 adobe acrobat_reader
CVE-2018-12852 adobe acrobat_reader_dc
CVE-2018-12863 adobe acrobat
CVE-2018-12863 adobe acrobat_dc
CVE-2018-12863 adobe acrobat_reader
CVE-2018-12863 adobe acrobat_reader_dc
CVE-2018-12877 adobe acrobat
CVE-2018-12877 adobe acrobat_dc
CVE-2018-12877 adobe acrobat_reader
CVE-2018-12877 adobe acrobat_reader_dc
CVE-2018-12882 php php
CVE-2018-12882 canonical ubuntu_linux
CVE-2018-12929 canonical ubuntu_linux
CVE-2018-12929 linux linux_kernel
CVE-2018-13410 info-zip_project zip
CVE-2018-14054 techsmith mp4v2
CVE-2018-14283 foxitsoftware foxit_reader
CVE-2018-14283 foxitsoftware phantompdf
CVE-2018-14284 foxitsoftware foxit_reader
CVE-2018-14284 foxitsoftware phantompdf
CVE-2018-14291 foxitsoftware foxit_reader
CVE-2018-14291 foxitsoftware phantompdf
CVE-2018-14292 foxitsoftware foxit_reader
CVE-2018-14292 foxitsoftware phantompdf
CVE-2018-14293 foxitsoftware foxit_reader
CVE-2018-14293 foxitsoftware phantompdf
CVE-2018-14294 foxitsoftware foxit_reader
CVE-2018-14294 foxitsoftware phantompdf
CVE-2018-14296 foxitsoftware foxit_reader
CVE-2018-14296 foxitsoftware phantompdf
CVE-2018-14297 foxitsoftware foxit_reader
CVE-2018-14297 foxitsoftware phantompdf
CVE-2018-14298 foxitsoftware foxit_reader
CVE-2018-14298 foxitsoftware phantompdf
CVE-2018-14299 foxitsoftware foxit_reader
CVE-2018-14299 foxitsoftware phantompdf
CVE-2018-14300 foxitsoftware foxit_reader
CVE-2018-14300 foxitsoftware phantompdf
CVE-2018-14301 foxitsoftware foxit_reader
CVE-2018-14301 foxitsoftware phantompdf
CVE-2018-14302 foxitsoftware foxit_reader
CVE-2018-14302 foxitsoftware phantompdf
CVE-2018-14303 foxitsoftware foxit_reader
CVE-2018-14303 foxitsoftware phantompdf
CVE-2018-14304 foxitsoftware foxit_reader
CVE-2018-14304 foxitsoftware phantompdf
CVE-2018-14305 foxitsoftware foxit_reader
CVE-2018-14305 foxitsoftware phantompdf
CVE-2018-14306 foxitsoftware foxit_reader
CVE-2018-14306 foxitsoftware phantompdf
CVE-2018-14307 foxitsoftware foxit_reader
CVE-2018-14307 foxitsoftware phantompdf
CVE-2018-14308 foxitsoftware foxit_reader
CVE-2018-14308 foxitsoftware phantompdf
CVE-2018-14309 foxitsoftware foxit_reader
CVE-2018-14309 foxitsoftware phantompdf
CVE-2018-14310 foxitsoftware foxit_reader
CVE-2018-14310 foxitsoftware phantompdf
CVE-2018-14312 foxitsoftware foxit_reader
CVE-2018-14312 foxitsoftware phantompdf
CVE-2018-14314 foxitsoftware foxit_reader
CVE-2018-14314 foxitsoftware phantompdf
CVE-2018-14315 foxitsoftware foxit_reader
CVE-2018-14315 foxitsoftware phantompdf
CVE-2018-14424 gnome gnome_display_manager
CVE-2018-14442 foxitsoftware foxit_reader
CVE-2018-14442 foxitsoftware phantompdf
CVE-2018-14611 linux linux_kernel
CVE-2018-14638 fedoraproject 389_directory_server
CVE-2018-14638 redhat enterprise_linux_aus
CVE-2018-14638 redhat enterprise_linux_desktop
CVE-2018-14638 redhat enterprise_linux_server
CVE-2018-14638 redhat enterprise_linux_server_eus
CVE-2018-14638 redhat enterprise_linux_server_tus
CVE-2018-14638 redhat enterprise_linux_workstation
CVE-2018-14734 linux linux_kernel
CVE-2018-14744 pbc_project pbc
CVE-2018-14809 fujielectric v-server_firmware
CVE-2018-15857 canonical ubuntu_linux
CVE-2018-15920 adobe acrobat
CVE-2018-15920 adobe acrobat_dc
CVE-2018-15920 adobe acrobat_reader
CVE-2018-15920 adobe acrobat_reader_dc
CVE-2018-15924 adobe acrobat
CVE-2018-15924 adobe acrobat_dc
CVE-2018-15924 adobe acrobat_reader
CVE-2018-15924 adobe acrobat_reader_dc
CVE-2018-16291 foxitsoftware phantompdf
CVE-2018-16291 foxitsoftware reader
CVE-2018-16292 foxitsoftware phantompdf
CVE-2018-16292 foxitsoftware reader
CVE-2018-16293 foxitsoftware phantompdf
CVE-2018-16293 foxitsoftware reader
CVE-2018-16294 foxitsoftware phantompdf
CVE-2018-16294 foxitsoftware reader
CVE-2018-16295 foxitsoftware phantompdf
CVE-2018-16295 foxitsoftware reader
CVE-2018-16296 foxitsoftware phantompdf
CVE-2018-16296 foxitsoftware reader
CVE-2018-16297 foxitsoftware phantompdf
CVE-2018-16297 foxitsoftware reader
CVE-2018-16402 elfutils_project elfutils
CVE-2018-16423 opensc_project opensc
CVE-2018-16424 opensc_project opensc
CVE-2018-16425 opensc_project opensc
CVE-2018-16540 artifex ghostscript
CVE-2018-16540 canonical ubuntu_linux
CVE-2018-16540 debian debian_linux
CVE-2018-16540 redhat enterprise_linux
CVE-2018-16540 redhat enterprise_linux_desktop
CVE-2018-16540 redhat enterprise_linux_server
CVE-2018-16540 redhat enterprise_linux_server_eus
CVE-2018-16540 redhat enterprise_linux_workstation
CVE-2018-16541 artifex ghostscript
CVE-2018-16541 canonical ubuntu_linux
CVE-2018-16541 debian debian_linux
CVE-2018-17097 surina soundtouch
CVE-2018-17182 canonical ubuntu_linux
CVE-2018-17182 debian debian_linux
CVE-2018-17182 linux linux_kernel
CVE-2018-17607 foxitsoftware phantompdf
CVE-2018-17607 foxitsoftware reader
CVE-2018-17608 foxitsoftware phantompdf
CVE-2018-17608 foxitsoftware reader
CVE-2018-17609 foxitsoftware phantompdf
CVE-2018-17609 foxitsoftware reader
CVE-2018-17610 foxitsoftware phantompdf
CVE-2018-17610 foxitsoftware reader
CVE-2018-17611 foxitsoftware phantompdf
CVE-2018-17611 foxitsoftware reader
CVE-2018-17615 foxitsoftware phantompdf
CVE-2018-17615 foxitsoftware reader
CVE-2018-17616 foxitsoftware phantompdf
CVE-2018-17616 foxitsoftware reader
CVE-2018-17617 foxitsoftware reader
CVE-2018-17618 foxitsoftware phantompdf
CVE-2018-17618 foxitsoftware reader
CVE-2018-17619 foxitsoftware reader
CVE-2018-17620 foxitsoftware phantompdf
CVE-2018-17620 foxitsoftware reader
CVE-2018-17621 foxitsoftware reader
CVE-2018-17623 foxitsoftware phantompdf
CVE-2018-17623 foxitsoftware reader
CVE-2018-17624 foxitsoftware phantompdf
CVE-2018-17624 foxitsoftware reader
CVE-2018-18408 appneta tcpreplay
CVE-2018-1999013 ffmpeg ffmpeg
CVE-2018-3560 google android
CVE-2018-3561 google android
CVE-2018-3564 google android
CVE-2018-3571 google android
CVE-2018-3584 google android
CVE-2018-3587 google android
CVE-2018-3590 qualcomm msm8909w_firmware
CVE-2018-3590 qualcomm sd_205_firmware
CVE-2018-3590 qualcomm sd_210_firmware
CVE-2018-3590 qualcomm sd_212_firmware
CVE-2018-3590 qualcomm sd_415_firmware
CVE-2018-3590 qualcomm sd_450_firmware
CVE-2018-3590 qualcomm sd_615_firmware
CVE-2018-3590 qualcomm sd_616_firmware
CVE-2018-3590 qualcomm sd_625_firmware
CVE-2018-3590 qualcomm sd_650_firmware
CVE-2018-3590 qualcomm sd_652_firmware
CVE-2018-3590 qualcomm sd_820_firmware
CVE-2018-3590 qualcomm sd_835_firmware
CVE-2018-3590 qualcomm sd_845_firmware
CVE-2018-3593 qualcomm mdm9206_firmware
CVE-2018-3593 qualcomm mdm9607_firmware
CVE-2018-3593 qualcomm mdm9650_firmware
CVE-2018-3593 qualcomm msm8909w_firmware
CVE-2018-3593 qualcomm sd_205_firmware
CVE-2018-3593 qualcomm sd_210_firmware
CVE-2018-3593 qualcomm sd_212_firmware
CVE-2018-3593 qualcomm sd_400_firmware
CVE-2018-3593 qualcomm sd_415_firmware
CVE-2018-3593 qualcomm sd_425_firmware
CVE-2018-3593 qualcomm sd_430_firmware
CVE-2018-3593 qualcomm sd_450_firmware
CVE-2018-3593 qualcomm sd_615_firmware
CVE-2018-3593 qualcomm sd_616_firmware
CVE-2018-3593 qualcomm sd_617_firmware
CVE-2018-3593 qualcomm sd_625_firmware
CVE-2018-3593 qualcomm sd_650_firmware
CVE-2018-3593 qualcomm sd_652_firmware
CVE-2018-3593 qualcomm sd_808_firmware
CVE-2018-3593 qualcomm sd_810_firmware
CVE-2018-3593 qualcomm sd_820_firmware
CVE-2018-3593 qualcomm sd_820a_firmware
CVE-2018-3593 qualcomm sd_835_firmware
CVE-2018-3593 qualcomm sd_845_firmware
CVE-2018-3593 qualcomm sd_850_firmware
CVE-2018-3599 google android
CVE-2018-3844 hyland perceptive_document_filters
CVE-2018-3845 hyland perceptive_document_filters
CVE-2018-3850 foxitsoftware pdf_reader
CVE-2018-3853 foxitsoftware foxit_reader
CVE-2018-3855 hyland perceptive_document_filters
CVE-2018-3924 foxitsoftware foxit_reader
CVE-2018-3924 foxitsoftware phantompdf
CVE-2018-3939 foxitsoftware foxit_reader
CVE-2018-3939 foxitsoftware phantompdf
CVE-2018-3940 foxitsoftware phantompdf
CVE-2018-3940 foxitsoftware reader
CVE-2018-3941 foxitsoftware phantompdf
CVE-2018-3941 foxitsoftware reader
CVE-2018-3942 foxitsoftware phantompdf
CVE-2018-3942 foxitsoftware reader
CVE-2018-3943 foxitsoftware phantompdf
CVE-2018-3943 foxitsoftware reader
CVE-2018-3944 foxitsoftware phantompdf
CVE-2018-3944 foxitsoftware reader
CVE-2018-3945 foxitsoftware phantompdf
CVE-2018-3945 foxitsoftware reader
CVE-2018-3946 foxitsoftware phantompdf
CVE-2018-3946 foxitsoftware reader
CVE-2018-3957 foxitsoftware phantompdf
CVE-2018-3957 foxitsoftware reader
CVE-2018-3958 foxitsoftware phantompdf
CVE-2018-3958 foxitsoftware reader
CVE-2018-3959 foxitsoftware phantompdf
CVE-2018-3959 foxitsoftware reader
CVE-2018-3960 foxitsoftware phantompdf
CVE-2018-3960 foxitsoftware reader
CVE-2018-3961 foxitsoftware phantompdf
CVE-2018-3961 foxitsoftware reader
CVE-2018-3962 foxitsoftware phantompdf
CVE-2018-3962 foxitsoftware reader
CVE-2018-3964 foxitsoftware phantompdf
CVE-2018-3964 foxitsoftware reader
CVE-2018-3965 foxitsoftware phantompdf
CVE-2018-3965 foxitsoftware reader
CVE-2018-3966 foxitsoftware phantompdf
CVE-2018-3966 foxitsoftware reader
CVE-2018-3967 foxitsoftware phantompdf
CVE-2018-3967 foxitsoftware reader
CVE-2018-3992 foxitsoftware phantompdf
CVE-2018-3992 foxitsoftware reader
CVE-2018-3993 foxitsoftware phantompdf
CVE-2018-3993 foxitsoftware reader
CVE-2018-3994 foxitsoftware phantompdf
CVE-2018-3994 foxitsoftware reader
CVE-2018-3995 foxitsoftware phantompdf
CVE-2018-3995 foxitsoftware reader
CVE-2018-3996 foxitsoftware phantompdf
CVE-2018-3996 foxitsoftware reader
CVE-2018-3997 foxitsoftware phantompdf
CVE-2018-3997 foxitsoftware reader
CVE-2018-4000 atlantiswordprocessor atlantis_word_processor
CVE-2018-4200 apple apple_tv
CVE-2018-4200 apple icloud
CVE-2018-4200 apple itunes
CVE-2018-4200 apple safari
CVE-2018-4200 apple iphone_os
CVE-2018-4200 canonical ubuntu_linux
CVE-2018-4877 adobe flash_player
CVE-2018-4877 redhat enterprise_linux_desktop
CVE-2018-4877 redhat enterprise_linux_server
CVE-2018-4877 redhat enterprise_linux_workstation
CVE-2018-4878 adobe flash_player
CVE-2018-4878 redhat enterprise_linux_desktop
CVE-2018-4878 redhat enterprise_linux_server
CVE-2018-4878 redhat enterprise_linux_workstation
CVE-2018-4888 adobe acrobat
CVE-2018-4888 adobe acrobat_dc
CVE-2018-4888 adobe acrobat_reader
CVE-2018-4888 adobe acrobat_reader_dc
CVE-2018-4892 adobe acrobat
CVE-2018-4892 adobe acrobat_dc
CVE-2018-4892 adobe acrobat_reader
CVE-2018-4892 adobe acrobat_reader_dc
CVE-2018-4902 adobe acrobat
CVE-2018-4902 adobe acrobat_dc
CVE-2018-4902 adobe acrobat_reader
CVE-2018-4902 adobe acrobat_reader_dc
CVE-2018-4911 adobe acrobat
CVE-2018-4911 adobe acrobat_dc
CVE-2018-4911 adobe acrobat_reader
CVE-2018-4911 adobe acrobat_reader_dc
CVE-2018-4913 adobe acrobat
CVE-2018-4913 adobe acrobat_dc
CVE-2018-4913 adobe acrobat_reader
CVE-2018-4913 adobe acrobat_reader_dc
CVE-2018-4919 adobe flash_player
CVE-2018-4919 adobe flash_player_desktop_runtime
CVE-2018-4932 adobe flash_player
CVE-2018-4952 adobe acrobat
CVE-2018-4952 adobe acrobat_dc
CVE-2018-4952 adobe acrobat_reader
CVE-2018-4952 adobe acrobat_reader_dc
CVE-2018-4954 adobe acrobat
CVE-2018-4954 adobe acrobat_dc
CVE-2018-4954 adobe acrobat_reader
CVE-2018-4954 adobe acrobat_reader_dc
CVE-2018-4958 adobe acrobat
CVE-2018-4958 adobe acrobat_dc
CVE-2018-4958 adobe acrobat_reader
CVE-2018-4958 adobe acrobat_reader_dc
CVE-2018-4959 adobe acrobat
CVE-2018-4959 adobe acrobat_dc
CVE-2018-4959 adobe acrobat_reader
CVE-2018-4959 adobe acrobat_reader_dc
CVE-2018-4961 adobe acrobat
CVE-2018-4961 adobe acrobat_dc
CVE-2018-4961 adobe acrobat_reader
CVE-2018-4961 adobe acrobat_reader_dc
CVE-2018-4971 adobe acrobat
CVE-2018-4971 adobe acrobat_dc
CVE-2018-4971 adobe acrobat_reader
CVE-2018-4971 adobe acrobat_reader_dc
CVE-2018-4974 adobe acrobat
CVE-2018-4974 adobe acrobat_dc
CVE-2018-4974 adobe acrobat_reader
CVE-2018-4974 adobe acrobat_reader_dc
CVE-2018-4977 adobe acrobat
CVE-2018-4977 adobe acrobat_dc
CVE-2018-4977 adobe acrobat_reader
CVE-2018-4977 adobe acrobat_reader_dc
CVE-2018-4980 adobe acrobat
CVE-2018-4980 adobe acrobat_dc
CVE-2018-4980 adobe acrobat_reader
CVE-2018-4980 adobe acrobat_reader_dc
CVE-2018-4983 adobe acrobat
CVE-2018-4983 adobe acrobat_dc
CVE-2018-4983 adobe acrobat_reader
CVE-2018-4983 adobe acrobat_reader_dc
CVE-2018-4988 adobe acrobat
CVE-2018-4988 adobe acrobat_dc
CVE-2018-4988 adobe acrobat_reader
CVE-2018-4988 adobe acrobat_reader_dc
CVE-2018-4989 adobe acrobat
CVE-2018-4989 adobe acrobat_dc
CVE-2018-4989 adobe acrobat_reader
CVE-2018-4989 adobe acrobat_reader_dc
CVE-2018-4990 adobe acrobat
CVE-2018-4990 adobe acrobat_dc
CVE-2018-4990 adobe acrobat_reader
CVE-2018-4990 adobe acrobat_reader_dc
CVE-2018-4996 adobe acrobat
CVE-2018-4996 adobe acrobat_dc
CVE-2018-4996 adobe acrobat_reader
CVE-2018-4996 adobe acrobat_reader_dc
CVE-2018-5009 adobe acrobat
CVE-2018-5009 adobe acrobat_dc
CVE-2018-5009 adobe acrobat_reader
CVE-2018-5009 adobe acrobat_reader_dc
CVE-2018-5011 adobe acrobat
CVE-2018-5011 adobe acrobat_dc
CVE-2018-5011 adobe acrobat_reader
CVE-2018-5011 adobe acrobat_reader_dc
CVE-2018-5065 adobe acrobat
CVE-2018-5065 adobe acrobat_dc
CVE-2018-5065 adobe acrobat_reader
CVE-2018-5065 adobe acrobat_reader_dc
CVE-2018-5091 mozilla firefox
CVE-2018-5091 mozilla firefox_esr
CVE-2018-5091 canonical ubuntu_linux
CVE-2018-5091 debian debian_linux
CVE-2018-5091 redhat enterprise_linux
CVE-2018-5091 redhat enterprise_linux_desktop
CVE-2018-5091 redhat enterprise_linux_server
CVE-2018-5091 redhat enterprise_linux_server_aus
CVE-2018-5091 redhat enterprise_linux_server_eus
CVE-2018-5091 redhat enterprise_linux_workstation
CVE-2018-5092 mozilla firefox
CVE-2018-5092 canonical ubuntu_linux
CVE-2018-5096 mozilla firefox_esr
CVE-2018-5096 mozilla thunderbird
CVE-2018-5096 debian debian_linux
CVE-2018-5096 redhat enterprise_linux
CVE-2018-5096 redhat enterprise_linux_desktop
CVE-2018-5096 redhat enterprise_linux_server
CVE-2018-5096 redhat enterprise_linux_server_aus
CVE-2018-5096 redhat enterprise_linux_server_eus
CVE-2018-5096 redhat enterprise_linux_workstation
CVE-2018-5097 mozilla firefox
CVE-2018-5097 mozilla firefox_esr
CVE-2018-5097 mozilla thunderbird
CVE-2018-5097 canonical ubuntu_linux
CVE-2018-5097 debian debian_linux
CVE-2018-5097 redhat enterprise_linux_desktop
CVE-2018-5097 redhat enterprise_linux_server
CVE-2018-5097 redhat enterprise_linux_server_aus
CVE-2018-5097 redhat enterprise_linux_server_eus
CVE-2018-5097 redhat enterprise_linux_workstation
CVE-2018-5098 mozilla firefox
CVE-2018-5098 mozilla firefox_esr
CVE-2018-5098 mozilla thunderbird
CVE-2018-5098 canonical ubuntu_linux
CVE-2018-5098 debian debian_linux
CVE-2018-5098 redhat enterprise_linux_desktop
CVE-2018-5098 redhat enterprise_linux_server
CVE-2018-5098 redhat enterprise_linux_server_aus
CVE-2018-5098 redhat enterprise_linux_server_eus
CVE-2018-5098 redhat enterprise_linux_workstation
CVE-2018-5099 mozilla firefox
CVE-2018-5099 mozilla firefox_esr
CVE-2018-5099 mozilla thunderbird
CVE-2018-5099 canonical ubuntu_linux
CVE-2018-5099 debian debian_linux
CVE-2018-5099 redhat enterprise_linux_desktop
CVE-2018-5099 redhat enterprise_linux_server
CVE-2018-5099 redhat enterprise_linux_server_aus
CVE-2018-5099 redhat enterprise_linux_server_eus
CVE-2018-5099 redhat enterprise_linux_workstation
CVE-2018-5100 mozilla firefox
CVE-2018-5100 canonical ubuntu_linux
CVE-2018-5101 mozilla firefox
CVE-2018-5101 canonical ubuntu_linux
CVE-2018-5102 mozilla firefox
CVE-2018-5102 mozilla firefox_esr
CVE-2018-5102 mozilla thunderbird
CVE-2018-5102 canonical ubuntu_linux
